Plot,Macro Percent N,Macro PercentC,Micro Percent N,Micro PercentC,S.C Percent N,S.C PercentC,LF Percent N,LF Percent C,DF Percent N,DF Percent C,MF Percent N,MF Percent C,Earthworm_RelAbundance,Earthworm,Ammonification,Nitrification,N Mineralization,NH4_Initial_g,resin ammonium
1,0.258339673,3.892833233,0.257132739,3.279644012,0.239352793,2.830867529,1.034275651,26.84823227,0.156407133,2.400925398,0.308891773,3.473502636,0,No,0.016590139,0.010680906,0.027271045,0.005633783,0.023237971
2,0.342465281,4.510127068,0.263800889,3.045013666,NA,NA,0.872886539,19.46793365,0.170227349,2.341154575,0.35093388,3.73776865,0,No,0.010357138,0.005220444,0.015577582,0.007079698,0.393271139
3,0.39163664,4.854663372,0.392893791,4.421418667,0.294005394,2.957072735,,,,,,,0.01,Yes,0.024919218,0.005442537,0.030361754,0.007339061,0.285487823
4,0.55555892,7.712427139,0.37324518,4.651736259,0.323013306,3.567239523,,,,,,,0.01,Yes,-0.018968385,0.001006286,-0.017962099,0.02217527,0.166033702
5,0.467260033,7.615697861,0.307132602,3.970848322,0.249497175,2.793102026,,,,,,,0.3,Yes,0.000345715,0.001447352,0.001793067,0.006760073,0.056190832
6,0.476114422,6.612188816,0.356233925,4.685763359,0.285380453,3.269225836,0.909939826,20.77615166,0.270742029,3.737581253,0.436500013,4.809495449,0.2,Yes,-0.007132147,0.016728493,0.009596346,0.011461015,0.117290928
7,0.312701672,3.841625929,0.291890055,3.383039236,0.274794698,2.877532005,0.818272531,16.72178078,0.101319395,1.501038671,0.417051762,4.153713703,,No,-0.002889009,0.1387615,0.135872491,0.008107654,0.326678899
8,0.505312145,6.548565865,0.254479378,3.698711634,0.275450051,3.524233818,1.27737987,29.39804268,0.379734755,6.606082439,0.594283462,9.515148163,0.01,Yes,0.018722392,0.022268787,0.040991179,0.023174109,NA
9,0.230523154,3.870972633,0.231465712,3.394374371,0.21458365,2.86516571,1.057287693,25.31826973,0.18929942,3.455084801,0.246428639,3.039321184,0.01,Yes,-0.00231486,-0.003553661,-0.005868521,0.00320752,0.124156108
10,0.248000026,3.153234482,0.222348034,2.693647861,0.212911069,2.371686459,,,,,,,1,Yes,-0.00777917,0.075115175,0.067336005,0.00785734,0.358945242
11,0.319322467,3.72500515,0.353449762,4.084441662,0.285454929,2.8563869,,,,,,,0.65,Yes,-0.019320534,0.297833424,0.27851289,0.022707193,0.360318278
12,0.264059335,3.476617575,0.307301819,3.671699047,0.294341326,3.084553719,,,,,,,0.8,Yes,0.001598433,0.09239571,0.093994143,0.003778423,0.343841848
13,0.858472347,10.2894659,0.455246955,5.352443218,0.460156024,4.942089081,1.526598573,30.01941109,0.262664974,3.182536364,0.617165029,6.325494766,0.65,Yes,0.02593585,0.013090701,0.039026551,0.009856178,0.347960955
14,0.428592592,4.603761673,0.440853447,4.848687649,0.374365777,3.85902667,1.334067345,22.95885849,0.251926899,2.791639566,0.592736959,5.68981123,0.01,Yes,0.000527408,0.333486623,0.334014032,0.005456986,0.556662409
15,0.289913118,4.196020126,0.269112825,3.585827351,0.228264585,2.885571957,,,,,,,0.01,Yes,0.002620742,0.074985132,0.077605874,0.0093881,0.529888209
16,0.352308273,4.735004425,0.271369904,3.531019688,0.22893171,2.74170208,1.210433245,26.78424835,9.83E-02,1.514273286,0.353786349,3.8468256,0.5,Yes,-0.007049818,0.087652989,0.080603171,0.005280764,0.551856783
17,0.384096354,4.658653259,0.323207974,3.67305851,0.297805309,3.051759243,1.231154919,24.7469883,0.091512419,1.352535486,0.363569558,3.770241261,0.01,Yes,-0.001959126,0.086044004,0.084084878,0.002552064,0.5793175
18,0.295855224,4.284512997,0.234143734,2.880043983,0.199977621,2.156218767,1.234093904,25.03576851,5.00E-02,1.001969337,0.301664382,3.82914257,0.5,Yes,-0.002627743,0.077104129,0.074476385,0.000296192,0.457117308
19,0.462967783,7.584517479,0.224550262,3.253911257,0.221848577,2.923100471,,,,,,,0,No,0.006427839,0.080155891,0.08658373,0.012175707,0.13994602
20,0.699318409,10.57583046,0.277887285,3.363939047,0.251532912,2.873749495,,,,,,,0,No,0.00296416,0.37544826,0.37841242,0.010541455,0.193494419
21,0.36393714,5.549497604,0.346579105,5.061687946,0.27650705,3.814240217,1.574488878,27.22309875,8.85E-02,1.312204957,0.263483793,3.379391193,0,No,0.052492101,0.137707345,0.190199446,0.014098658,0.340409258
22,0.668832064,11.92288685,0.320620447,4.744197369,0.251635551,3.499489784,1.588263154,30.37885094,7.70E-02,1.2725389,0.477420658,6.444108963,0,No,0.017868047,0,0.017868047,0.003700239,0.167406738
23,0.531702816,8.74267292,0.355013132,5.206389904,0.265254617,3.756174088,,,,,,,0,No,0.058115921,-0.076906463,-0.018790543,0.008528613,0.450252128
