Sample,DryGreater2000,DryLess2000,InitialTotalMass,InitialFractionMass,MacroTinMass,MacroTinSoilmass,MacroSoilMass,MacroFraction,MicroTinMass,MicroTinSoilMass,MicroSoilMass,MicroFraction,SCTinMass,SCTinSoilMass,SCSoilMass,S+CFraction,Notes
1,28.73,62.7,91.43,30.27,6.92,29.7315,22.8115,0.753600925,6.98,10.6468,3.6668,0.121136439,22.2739,23.6989,1.425,0.047076313,
2,35.87,60.5,96.37,33.93,7.32,28.4445,21.1245,0.622590628,6.9,12.0535,5.1535,0.151886236,22.2556,25.1831,2.9275,0.086280578,
3,31.48,67.21,98.69,31.44,6.92,29.1036,22.1836,0.705585242,6.9,10.9406,4.0406,0.128517812,22.3059,24.1417,1.8358,0.058390585,
4,20.09,51.17,71.26,30.27,6.93,26.1984,19.2684,0.636551041,7.12,12.2011,5.0811,0.167859267,11.1976,12.8063,1.6087,0.053145028,
5,30.89,55.36,86.25,86.25,13.92,78.7947,64.8747,0.752170435,7.11,18.4813,11.3713,0.131841159,133.2403,135.9624,2.7221,0.03156058,
6,37.74,41.01,78.75,31.9,7,32.5378,25.5378,0.800557994,7,10.478,3.478,0.109028213,11.1199,11.9889,0.869,0.027241379,
7,39.66,49.52,89.18,34.22,6.91,33.3155,26.4055,0.771639392,6.93,11.4675,4.5375,0.132597896,22.1689,23.0559,0.887,0.025920514,
8,49.94,44.39,94.33,29.59,6.98,28.5169,21.5369,0.727843866,6.97,10.4146,3.4446,0.11641095,11.0552,11.9858,0.9306,0.031449814,
9,18.12,71.28,89.4,29.33,7.32,28.3696,21.0496,0.717681555,7.12,10.6476,3.5276,0.120272758,22.1048,23.9634,1.8586,0.063368565,
10,72.88,41.75,114.63,33.22,6.98,33.2722,26.2922,0.791456954,6.97,10.122,3.152,0.094882601,22.2659,23.6023,1.3364,0.040228778,
11,64.64,33.4,98.04,30.65,6.98,29.8236,22.8436,0.745305057,6.97,11.6175,4.6475,0.151631321,22.3255,23.7942,1.4687,0.047918434,
12,80.87,30.56,111.43,31.47,6.98,32.4627,25.4827,0.80974579,7.12,10.0905,2.9705,0.094391484,22.2901,22.9913,0.7012,0.022281538,
13,9.29,50.76,60.05,33.17,6.98,29.7626,22.7826,0.686843533,6.9,12.6511,5.7511,0.173382575,10.3488,12.8378,2.489,0.075037685,
14,50.47,48.64,99.11,31.86,7.1,33.808,26.708,0.83829253,6.9,9.691,2.791,0.087602009,22.186,22.5712,0.3852,0.012090395,
15,30.17,49.52,79.69,33.53,6.98,30.8714,23.8914,0.712538026,7.09,12.1641,5.0741,0.151330152,22.2538,24.3261,2.0723,0.061804354,
16,58.71,39.65,98.36,32.3,6.94,31.9242,24.9842,0.773504644,6.94,10.4029,3.4629,0.107210526,22.4822,24.083,1.6008,0.049560372,
17,89.93,40.72,130.65,34.46,6.93,33.5344,26.6044,0.772037145,7.12,10.8098,3.6898,0.107074869,22.3546,23.9183,1.5637,0.045377249,
18,81.66,56.22,137.88,29.43,6.93,23.1105,16.1805,0.549796126,6.98,12.9286,5.9486,0.202127081,11.0856,13.6434,2.5578,0.086911315,
19,44,37.45,81.45,32.66,7,32.3144,25.3144,0.775088794,7,9.8204,2.8204,0.086356399,22.2016,23.4325,1.2309,0.037688304,
20,19.63,64.9,84.53,33.76,6.98,32.3088,25.3288,0.750260664,7.09,11.473,4.383,0.129828199,22.3134,23.546,1.2326,0.036510664,
21,21.43,55.21,76.64,30.16,7.06,29.8549,22.7949,0.755799072,6.95,10.1477,3.1977,0.106024536,22.2019,23.2672,1.0653,0.035321618,
22,27.18,45.24,72.42,30.6,6.93,28.364,21.434,0.700457516,6.88,11.6577,4.7777,0.156133987,22.2915,23.8793,1.5878,0.051888889,
23,16.4,46.11,62.51,30.14,6.94,29.203,22.263,0.738652953,6.94,11.3691,4.4291,0.146950896,11.1896,12.3658,1.1762,0.039024552,
24,49.99,52.18,102.17,35.85,7.22,33.7055,26.4855,0.738786611,6.95,11.5544,4.6044,0.128435146,22.4006,23.9059,1.5053,0.041988842,
25,16.97,55.28,72.25,34.23,6.99,33.5686,26.5786,0.776470932,6.9,11.0592,4.1592,0.12150745,11.1028,12.2387,1.1359,0.033184341,
26,20.4,36.45,56.85,30.73,7.1,29.4686,22.3686,0.727907582,6.91,10.8704,3.9604,0.128877319,11.1732,12.4543,1.2811,0.041688903,
27,20.93,52.48,73.41,31.13,6.99,30.4916,23.5016,0.754950209,6.9,10.4633,3.5633,0.114465146,22.3674,23.501,1.1336,0.036415034,
28,27.78,58.12,85.9,33.99,7,34.9935,27.9935,0.823580465,7,9.8875,2.8875,0.084951456,22.2209,23.2134,0.9925,0.029199765,
29,17.42,42.16,59.58,30.66,6.94,29.081,22.141,0.722146119,7.09,10.875,3.785,0.12345075,22.1875,23.651,1.4635,0.047733203,
30,28.95,70,98.95,29.81,7.1,31.0933,23.9933,0.804874203,6.97,9.92,2.95,0.098960081,22.4155,23.2538,0.8383,0.028121436,
31,36.58,68.31,104.89,30.74,7.22,32.2756,25.0556,0.815081327,6.91,9.7112,2.8012,0.091125569,22.2301,23.2588,1.0287,0.033464541,
32,28.64,32.33,60.97,29.41,7.06,28.7402,21.6802,0.73717103,7,11.3154,4.3154,0.146732404,11.2083,12.1516,0.9433,0.032074124,
33,27.45,46.46,73.91,29.96,7.22,33.7193,26.4993,0.884489319,6.94,7.9118,0.9718,0.032436582,22.1833,22.4011,0.2178,0.007269693,
34,28.33,51.25,79.58,32.36,7.1,33.6137,26.5137,0.8193356,7,9.3951,2.3951,0.074014215,22.4213,23.2003,0.779,0.02407293,
35,20.39,68.28,88.67,32.49,6.94,33.8356,26.8956,0.827811634,6.99,9.4485,2.4585,0.075669437,22.5436,23.2003,0.6567,0.020212373,
36,69.16,56.16,125.32,31.41,7,29.6203,22.6203,0.720162369,6.95,11.892,4.942,0.157338427,22.2289,23.2793,1.0504,0.033441579,
37,23.56,41.11,64.67,31.03,6.93,31.6729,24.7429,0.7973864,6.88,10.2295,3.3495,0.107943925,22.2619,24.0203,1.7584,0.056667741,
38,40.69,51.44,92.13,29.33,7.22,27.9,20.68,0.705080123,6.88,11.1508,4.2708,0.145612001,22.3583,23.334,0.9757,0.03326628,
39,13.22,54.32,67.54,31.66,7.32,31.4809,24.1609,0.76313645,6.95,10.2019,3.2519,0.102713203,22.3548,22.3548,0,0,
40,46.08,62.19,108.27,29.56,7.32,30.1995,22.8795,0.77400203,6.95,10.4078,3.4578,0.116975643,11.1935,12.1571,0.9636,0.032598106,
41,18.68,57.6,76.28,31.78,6.92,31.3977,24.4777,0.770223411,6.94,11.2961,4.3561,0.137070485,11.0674,12.2149,1.1475,0.036107615,
42,11.1,31.95,43.05,30.47,6.93,29.7011,22.7711,0.74732852,6.98,11.3201,4.3401,0.142438464,11.0932,12.2266,1.1334,0.037197243,
43,16.25,50.72,66.97,34.42,6.99,32.0059,25.0159,0.726783847,6.9,12.5183,5.6183,0.163227775,22.2136,23.7279,1.5143,0.04399477,
44,38.38,64.1,102.48,30.28,7,29.1469,22.1469,0.731403567,6.95,10.6438,3.6938,0.121988111,22.2453,23.7813,1.536,0.050726552,
45,20.43,30.76,51.19,30.6,6.93,32.0105,25.0805,0.819624183,6.95,9.8047,2.8547,0.09329085,22.3667,23.151,0.7843,0.025630719,
46,21.7,13.62,35.32,30.44,7.06,32.9865,25.9265,0.851724704,6.88,8.3107,1.4307,0.047000657,22.2131,22.4833,0.2702,0.008876478,
47,54.98,35.56,90.54,30.64,7.32,30.572,23.252,0.758877285,6.95,9.7532,2.8032,0.091488251,22.3021,23.7461,1.444,0.047127937,
48,17.92,29.95,47.87,32.71,6.98,33.9458,26.9658,0.824390095,7.12,9.8906,2.7706,0.084701926,11.1682,11.8683,0.7001,0.021403241,
