Sample,TotalMass with bag,TotalMass,RockTin,Rock&TinMass,RockMass,PickedMass,PickedMassNoRocks,RootPickedFraction,RootTin,Tin&RootMass,RootMass,RootMassScaled,Roots_mg_cm3,RootFraction,FineTin,FineRoots&Tin,FineRootMass,CoarseTin,CoarseRoots&Tin,CoarseRootMass,Worm?,AbovegroundBiomass_kg
1,606.4,597.54,6.93,19.46,12.53,252.44,239.91,0.422465442,7.22,10.3438,3.1238,7.394214277,9.419381244,0.013020716,0.564,2.1073,1.5433,0.4078,0.9643,,N,6749.7313
2,593.59,584.73,6.95,10.84,3.89,295.25,291.36,0.504933901,6.97,14.3995,7.4295,14.71380706,18.74370326,0.025499382,0.648,1.5989,0.9509,0.8365,4.5569,,N,1211.6054
3,555.63,546.77,6.9,10.32,3.42,276.01,272.59,0.504800922,7.09,9.7798,2.6898,5.32843718,6.787818063,0.009867567,9.6273,10.8792,1.2519,0.7282,1.3145,,Y,3520.5477
4,574,565.14,7.22,23.87,16.65,287.33,270.68,0.508422692,6.94,9.5264,2.5864,5.087105753,6.480389494,0.009555194,0.564,1.3587,0.7947,0.4078,0.9144,,N,1128.247
5,703.9,695.04,6.95,27.28,20.33,375.16,354.83,0.539767495,6.98,11.5707,4.5907,8.504958226,10.83434169,0.012937745,0.564,2.5399,1.9759,0.4078,0.7073,,N,7507.2144
6,561.17,552.31,7.12,14.81,7.69,258.06,250.37,0.467237602,7.12,12.1378,5.0178,10.73928977,13.68062391,0.020041539,0.564,1.0515,0.4875,0.4078,3.9597,,N,5230.6616
7,739.3,730.44,6.95,32.56,25.61,350.84,325.23,0.480313236,6.94,9.1641,2.2241,4.630519907,5.898751473,0.006838545,0.564,1.5158,0.9518,0.4078,0.7387,,Y,3588.1509
8,570.51,561.65,6.94,22.66,15.72,247.49,231.77,0.44064809,6.98,9.2263,2.2463,5.097718676,6.493909141,0.009691936,9.9541,10.6649,0.7108,0.8431,1.1434,,N,1754.0365
9,543.93,535.07,6.9,14.77,7.87,282.41,274.54,0.527800101,6.95,10.462,3.512,6.654034347,8.476476875,0.012792307,0.7282,2.7519,2.0237,0.6266,1.2801,,Y,4933.7326
10,601.4,592.54,7.12,13.13,6.01,294.46,288.45,0.496945354,6.97,8.5058,1.5358,3.090480649,3.936918025,0.00532432,9.9179,10.7383,0.8204,0.6266,0.8877,,N,775.7617
11,720,711.14,,,0,333.24,333.24,0.468599713,6.9,8.2226,1.3226,2.822451578,3.595479718,0.003968911,0.564,1.5225,0.9585,,,,N,5035.0611
12,668.6,659.74,6.92,19.19,12.27,377.01,364.74,0.57145239,6.98,10.4385,3.4585,6.052122729,7.709710483,0.009482097,9.6823,10.8525,1.1702,0.8431,2.2198,,Y,3615.4071
13,780.5,771.64,6.44,92.69,86.25,355.91,269.66,0.461238401,6.95,9.9813,3.0313,6.572089382,8.372088385,0.011241193,0.8365,2.508,1.6715,0.7282,1.1751,,N,2866.1409
14,739.2,730.34,,,0,256,256,0.350521675,7.1,10.1989,3.0989,8.840822758,11.2621946,0.012105078,9.5608,10.8417,1.2809,0.8431,1.7843,,N,1586.0897
15,754.2,745.34,7.12,23.1,15.98,299.49,283.51,0.401816621,7,7.8768,0.8768,2.182089926,2.77973239,0.00309266,0.648,1.2626,0.6146,,,,Y,2749.1156
16,551,542.14,6.98,19.72,12.74,243.22,230.48,0.448629505,6.94,8.4613,1.5213,3.390994088,4.319737691,0.006600573,0.7282,1.3141,0.5859,0.6266,0.8907,,N,1054.5983
17,819.2,810.34,7.32,13.04,5.72,385.02,379.3,0.475133894,7.32,8.594,1.274,2.681349436,3.415731766,0.003358819,0.564,1.0014,0.4374,0.4078,1.0976,,Y,4971.1213
18,667.1,658.24,7.1,29.7,22.6,337.97,315.37,0.513444944,7.22,9.8171,2.5971,5.058185945,6.443548975,0.008235089,0.648,1.1117,0.4637,0.7282,2.3921,,N,4128.0506
19,426.2,417.34,7.1,7.34,0.24,177.88,177.64,0.426223223,6.91,18.2838,11.3738,26.6850781,33.99373006,0.064027246,0.564,3.3709,2.8069,0.4078,8.3905,,N,2255.4165
20,484.66,475.8,6.94,9.29,2.35,192.75,190.4,0.405107188,6.92,18.3059,11.3859,28.10589479,35.80368763,0.059799895,9.6234,11.6814,2.058,0.8365,8.1916,,N,4811.7883
21,481.4,472.54,6.94,13.76,6.82,207.11,200.29,0.438290938,6.93,9.5953,2.6653,6.081120477,7.746650289,0.013307205,0.8365,1.8846,1.0481,0.648,1.3027,,N,4961.9675
22,580.99,572.13,7,21.63,14.63,274.25,259.62,0.479349099,6.93,21.5679,14.6379,30.53703456,38.90068096,0.05638202,9.6222,11.5958,1.9736,0.6266,9.7598,,N,6180.9311
